route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
901,0,,METRO Blue Line,Blue Line - Mpls - Airport - MOA,0,https://www.metrotransit.org/route/blue,0053A0,ffffff,1
902,0,,METRO Green Line,Green Line - Mpls - St Paul,0,https://www.metrotransit.org/route/green,008144,ffffff,2
906,10,,Airport Shuttle,Light Rail Shuttle - Lindbergh - Humphrey,0,https://www.metrotransit.org/route/airprt,0053A0,ffffff,3
903,0,,METRO Red Line,Red Line - Apple Valley - Eagan - Mall of America,3,https://www.metrotransit.org/route/red,ED1B2E,ffffff,4
904,0,,METRO Orange Line,Orange Line-Mpls-Richfield-Bloomington-Burnsville,3,https://www.metrotransit.org/route/orange,F68A1E,000000,5
921,0,,METRO A Line,A Line - Roseville - Snelling Av - 46th St,3,https://www.metrotransit.org/route/aline,7A8690,ffffff,6
923,0,,METRO C Line,C Line - Penn Av - Brooklyn Center,3,https://www.metrotransit.org/route/cline,7A8690,ffffff,7
888,0,,Northstar Commuter Rail,Northstar - Big Lake - Elk River - Anoka - Mpls,2,https://www.metrotransit.org/route/nstar,FFD200,000000,8
887,15,,Northstar Link,Northstar Link - St Cloud Link,3,https://www.metrotransit.org/route/link,FFD200,000000,9
2,0,2,,Franklin Av - Riverside Av - U of M - 8th St SE,3,https://www.metrotransit.org/route/2,,000000,10
3,0,3,,U of M - Como Av - Energy Park Dr - Maryland Av,3,https://www.metrotransit.org/route/3,,000000,11
4,0,4,,Johnson St - Bryant Av - Southtown,3,https://www.metrotransit.org/route/4,,000000,12
5,0,5,,Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA,3,https://www.metrotransit.org/route/5,,000000,13
6,0,6,,U of M - Hennepin - Xerxes - France - Southdale,3,https://www.metrotransit.org/route/6,,000000,14
7,0,7,,Plymouth-27Av-Minnehaha-46St Sta-34Av S-66st/Cedar,3,https://www.metrotransit.org/route/7,,000000,15
9,0,9,,Glenwood-Wayzata Blvd-Cedar Lk Rd-36Av S-46 St Sta,3,https://www.metrotransit.org/route/9,,000000,16
10,0,10,,Central Av - University Av - Northtown,3,https://www.metrotransit.org/route/10,,000000,17
11,0,11,,Columbia Heights - 2nd St NE - 4th Av S,3,https://www.metrotransit.org/route/11,,000000,18
14,0,14,,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,3,https://www.metrotransit.org/route/14,,000000,19
17,0,17,,Minnetonka Blvd - Uptown - Washington St NE,3,https://www.metrotransit.org/route/17,,000000,20
18,0,18,,Nicollet Av - South Bloomington,3,https://www.metrotransit.org/route/18,,000000,21
21,0,21,,Uptown - Lake St - Midway - Selby  Av,3,https://www.metrotransit.org/route/21,,000000,22
22,0,22,,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,3,https://www.metrotransit.org/route/22,,000000,23
23,0,23,,Uptown - 38th St - Highland Village,3,https://www.metrotransit.org/route/23,,000000,24
25,0,25,,Northtown - Silver Lake - Stinson - Lake of Isles,3,https://www.metrotransit.org/route/25,,000000,25
27,2,27,,Lake St Sta - 26th St - 28St- I35W/Lake St,3,https://www.metrotransit.org/route/27,,000000,26
30,2,30,,Broadway Crosstown - Westgate Sta,3,https://www.metrotransit.org/route/30,,000000,27
32,0,32,,Robbinsdale - Lowry Av - Rosedale,3,https://www.metrotransit.org/route/32,,000000,28
33,2,33,,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,3,https://www.metrotransit.org/route/33,,,29
46,0,46,,50St - 46St - 46St Sta - Highland Village,3,https://www.metrotransit.org/route/46,,000000,30
54,0,54,,Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall,3,https://www.metrotransit.org/route/54,,000000,31
61,0,61,,E Hennepin Av - Larpenteur Av - Arcade St,3,https://www.metrotransit.org/route/61,,000000,32
62,0,62,,Shoreview - Little Canada - Rice St - Signal Hills,3,https://www.metrotransit.org/route/62,,000000,33
63,0,63,,Raymond Sta - Grand Av - Sunray,3,https://www.metrotransit.org/route/63,,000000,34
64,0,64,,Payne - Maryland - White Bear Av - Maplewood Mall,3,https://www.metrotransit.org/route/64,,000000,35
65,0,65,,Dale St - Co Rd B - Rosedale,3,https://www.metrotransit.org/route/65,,000000,36
67,2,67,,W Minnehaha Av - Raymond Sta - Franklin Av,3,https://www.metrotransit.org/route/67,,000000,37
68,0,68,,Jackson St - Robert St - W St Paul - Inver Hills,3,https://www.metrotransit.org/route/68,,000000,38
70,0,70,,Burns Av - Sunray,3,https://www.metrotransit.org/route/70,,000000,39
71,0,71,,Little Canada - Westminster- Concord - Inver Hills,3,https://www.metrotransit.org/route/71,,000000,40
74,0,74,,46th St - Randolph - W 7th St - E 7th St - Sunray,3,https://www.metrotransit.org/route/74,,000000,41
75,0,75,,Stryker - Robert - Lake Cove Apts,3,https://www.metrotransit.org/route/75,,000000,42
80,2,80,,Maplewood - White Bear Av - Sunray,3,https://www.metrotransit.org/route/80,,000000,43
83,2,83,,HarMar Target - Lexington Av,3,https://www.metrotransit.org/route/83,,000000,44
87,2,87,,Rosedale - U of M St Paul - Cleveland - Highland,3,https://www.metrotransit.org/route/87,,000000,45
94,0,94,,Express - Mpls - St Paul,3,https://www.metrotransit.org/route/94,,000000,46
113,0,113,,Ltd Stop - Grand Av S - Lyndale Av S - U of M,3,https://www.metrotransit.org/route/113,,000000,47
114,0,114,,Ltd Stop - Excelsior Blvd - Uptown - U of M,3,https://www.metrotransit.org/route/114,,000000,48
115,0,115,,Ltd Stop - Grand Av S - Uptown - Hennepin - U of M,3,https://www.metrotransit.org/route/115,,000000,49
120,11,120,,U of M - East Bank Circulator,3,https://www.metrotransit.org/route/120,,000000,50
121,11,121,,U of M - Campus Connector,3,https://www.metrotransit.org/route/121,,000000,51
122,11,122,,U of M - University Ave Circulator,3,https://www.metrotransit.org/route/122,,000000,52
123,11,123,,U of M - 4th Street Circulator,3,https://www.metrotransit.org/route/123,,000000,53
124,11,124,,U of M - Saint Paul Circulator,3,https://www.metrotransit.org/route/124,,000000,54
219,2,219,,Maplewood - Century Av - Hadley Av - Sunray,3,https://www.metrotransit.org/route/219,,000000,55
225,2,225,,Deluxe - Roseville - Coventry - Rosedale,3,https://www.metrotransit.org/route/225,,000000,56
227,2,227,,Target Shoreview - Victoria - Rosedale,3,https://www.metrotransit.org/route/227,,000000,57
250,0,250,,Express - Co Rd C P&R - 95th Av P&R - Mpls,3,https://www.metrotransit.org/route/250,,000000,58
252,0,252,,Express - 95Av P&R - U of M,3,https://www.metrotransit.org/route/252,,000000,59
264,0,264,,Express - Roseville - Co Rd C P & R - Mpls,3,https://www.metrotransit.org/route/264,,000000,60
270,0,270,,Express - Maplewood -  Little Canada - Minneapolis,3,https://www.metrotransit.org/route/270,,000000,61
275,0,275,,Express - Co Rd 14 P&R - St Paul,3,https://www.metrotransit.org/route/275,,000000,62
294,0,294,,Express - Oakdale - Stillwater - St Paul,3,https://www.metrotransit.org/route/294,,000000,63
323,2,323,,Sun Ray - McKnight Rd - Londin Ln - Woodbury,3,https://www.metrotransit.org/route/323,,,64
353,0,353,,Express - Woodbury - St Paul - Mpls,3,https://www.metrotransit.org/route/353,,000000,65
363,0,363,,Express - Cottage Grove - St Paul - Mpls,3,https://www.metrotransit.org/route/363,,000000,66
501,0,501,,MOA - Cargo Rd,3,https://www.metrotransit.org/route/501,,,92
515,0,515,,Southdale - 66th St - Bloomington Av - MOA,3,https://www.metrotransit.org/route/515,,000000,93
534,2,534,,Normndale College - Knox - 98th St Sta,3,https://www.metrotransit.org/route/534,,,94
537,2,537,,Valley West - Normandale Col - France - Southdale,3,https://www.metrotransit.org/route/537,,000000,95
538,2,538,,Southdale - York Av - Southtown - 86th St - MOA,3,https://www.metrotransit.org/route/538,,000000,96
539,2,539,,Normandale College - 98th St - MOA,3,https://www.metrotransit.org/route/539,,000000,97
540,2,540,,Edina - Richfield - 77th St - MOA,3,https://www.metrotransit.org/route/540,,000000,98
542,2,542,,Normandale Lake - American Blvd - MOA,3,https://www.metrotransit.org/route/542,,000000,99
546,2,546,,Norm Vill - Norm Coll - Valley West - 98th St Sta,3,https://www.metrotransit.org/route/546,,,100
547,2,547,,Southwest Bloomington - 98th St Sta,3,https://www.metrotransit.org/route/547,,,101
578,0,578,,Express - Edina - Southdale - Mpls,3,https://www.metrotransit.org/route/578,,000000,102
600,6,600,,SW Transit - Express - SW Sta - Gold Tri - Mpls,3,https://www.metrotransit.org/route/600,,000000,103
612,0,612,,Uptown - Excelsior Blvd - Hopkins - Opus,3,https://www.metrotransit.org/route/612,,000000,104
615,2,615,,Ridgedale - Co Rd 73 - St Louis Park,3,https://www.metrotransit.org/route/615,,000000,105
645,0,645,,Ltd Stop - Mound - Wayzata - Ridgedale - Mpls,3,https://www.metrotransit.org/route/645,,000000,106
667,0,667,,Express - Minnetonka - St Louis Park - Mpls,3,https://www.metrotransit.org/route/667,,000000,107
673,0,673,,Express - Co Rd 73 P&R - Mpls,3,https://www.metrotransit.org/route/673,,000000,108
690,6,690,,SW Transit - Express - Eden Prairie - Mpls,3,https://www.metrotransit.org/route/690,,000000,109
695,6,695,,SW Transit - Express - Chaska - Chanhassen - Mpls,3,https://www.metrotransit.org/route/695,,000000,110
698,6,698,,SW Transit - Express - Chaska - Chanhassen - Mpls,3,https://www.metrotransit.org/route/698,,000000,111
699,6,699,,SW Transit - Express - Chaska - Chanhassen - Mpls,3,https://www.metrotransit.org/route/699,,000000,112
705,2,705,,Starlite - Winnetka Av - Louisiana Av Transit Ctr,3,https://www.metrotransit.org/route/705,,000000,113
716,2,716,,Zane Av - 63rd Av - Crystal - Robbinsdale,3,https://www.metrotransit.org/route/716,,000000,114
717,2,717,,Brooklyn Center - Robbinsdale - Plymouth,3,https://www.metrotransit.org/route/717,,000000,115
721,0,721,,Ltd Stop - Brooklyn Center - Henn Tech - Mpls,3,https://www.metrotransit.org/route/721,,000000,116
722,0,722,,Brooklyn Ctr-Humboldt-Shingle Creek-Target Campus,3,https://www.metrotransit.org/route/722,,000000,117
723,0,723,,Starlite - N Henn Comm College - Brooklyn Ctr,3,https://www.metrotransit.org/route/723,,000000,118
724,0,724,,Target Campus - Starlite - Brooklyn Ctr,3,https://www.metrotransit.org/route/724,,000000,119
747,5,747,,Plymouth - Express - Station 73  - Reverse Commute,3,https://www.metrotransit.org/route/747,,000000,120
755,0,755,,Ltd Stop - Hwy 55 - Golden Valley Rd - Winnetka Av,3,https://www.metrotransit.org/route/755,,000000,121
760,0,760,,Express - Zane Av - 63rd Av - 65th Av P&R - Mpls,3,https://www.metrotransit.org/route/760,,000000,122
761,0,761,,Express - Brooklyn Park - Xerxes - 49th Av - Mpls,3,https://www.metrotransit.org/route/761,,000000,123
